"ID do pedido","Status do pedido","Cancelar Motivo","Status da Devolução / Reembolso","Número de rastreamento","Data de criação do pedido","Nº de referência do SKU principal","Nome do Produto","Número de referência SKU","Nome da variação","Preço acordado","Quantidade","Valor Total","Taxa de comissão","Taxa de serviço","Total global","Valor estimado do frete","Nome de usuário (comprador)"
"240108AN3QB1T0","Concluído","","","BR246017046069HSPXLM1165752","2024-01-07 19:37","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","45.98","6.84","3.76","45.98","7.99","erick_21_2000"
"240108ANF3NCGF","Concluído","","","BR248091548690DSPXLM1168753","2024-01-07 19:44","#F521","Kit C/2 Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F521","","91.99","1","91.99","16.56","4.84","91.99","9.16","4jg5zzwz5_"
"240108ANUS10YH","Concluído","","","BR242809081857DSPXLM1161722","2024-01-07 19:51","#F035","Suplemento Vitamínico Lavitan Cabelos E Unhas C/60","#F035","","25.97","1","63.96","11.51","7.28","63.96","10.32","carlucisouza"
"240108ANUS10YH","Concluído","","","BR242809081857DSPXLM1161722","2024-01-07 19:51","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","63.96","11.51","7.28","63.96","10.32","carlucisouza"
"240108AP4EHDWS","Concluído","","","BR247189748127YSPXLM1171403","2024-01-07 19:56","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.90","1","53.64","8.62","3.96","53.64","11.47","marciaalves175"
"240108AP7CYD76","Concluído","","","BR244992957632CSPXLM1165724","2024-01-07 19:57","#F741","Protetor Solar FPS 70 OAZ Euro Farma Resistente à Água C/200ml","#F741","","44.99","1","44.99","8.10","3.90","44.99","17.25","5p8_g91iak"
"240108APT0WYU2","Concluído","","","BR241328253592ESPXLM1164696","2024-01-07 20:08","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","47.99","1","47.99","8.46","3.94","46.62","14.94","cleytonmanoel584"
"240108AQ2W4NXX","Concluído","","","BR247344629218F","2024-01-07 20:13","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.84","3.76","37.99","16.11","bf9ed67aln"
"240108AR17Y6CM","Concluído","","","BR241969713540F","2024-01-07 20:30","#F036","Ômega 3 Catarinense 1000mg Com 120 Cápsulas","#F036","","47.99","1","49.57","8.64","3.96","49.24","21.58","kelvinmartins94"
"240108ARX0B20F","Concluído","","","BR246580221891BSPXLM1165232","2024-01-07 20:46","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.90","1","47.90","8.44","3.94","44.98","11.47","zeliamariav"
"240108AS09S32N","Concluído","","","BR246763257498ISPXLM1167181","2024-01-07 20:47","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.84","3.76","37.99","9.16","me.rose22"
"240108AS5YUM29","Concluído","","","BR243116293341GSPXLM1166105","2024-01-07 20:50","#F037","Suplemento Polivitamínico De A-z Equaliv Nutri Mulher Com 60 Cápsulas","#F037","","59.99","1","59.99","10.80","4.20","58.36","6.84","ramona1234hh"
"240108ASMEEBUR","Concluído","","","BR245999366986D","2024-01-07 20:58","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","47.99","1","47.99","8.64","3.96","47.99","12.63","ira40"
"240108ASY4RXFS","Concluído","","","BR2439626336432SPXLM1166223","2024-01-07 21:04","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","47.99","1","47.99","8.64","3.96","47.99","9.16","roselima634"
"240108AT9BUTK3","Concluído","","","BR242601789859ESPXLM1164596","2024-01-07 21:10","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.90","1","47.90","8.62","3.96","47.47","9.16","brunamuriano"
"240108AU9B6971","Concluído","","","BR2417337469308SPXLM1163369","2024-01-07 21:28","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.90","1","47.90","8.44","3.94","46.72","11.47","vbbmwmk_zrrt0h3uw8qnpq38z4sj"
"240108AVPHXJV1","Concluído","","","BR2405415598224SPXLM1455282","2024-01-07 21:53","#F779","Protetor Solar FPS 50 OAZ Euro Farma Protege e Hidrata Resistente à Água C/200ml","#F779","","33.99","1","38.57","6.12","3.68","38.57","9.16","h_59wo7y_t"
"240108AVSVP7U3","Concluído","","","BR241216583131BSPXLM1162764","2024-01-07 21:55","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.84","3.76","37.12","7.99","alba.antunes"
"240108AWC76EYB","Concluído","","","BR248461334646CSPXLM1456018","2024-01-07 22:05","#F522","Kit C/3 Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F522","","135.99","1","135.99","24.48","5.72","135.99","9.16","carolinecastro600"
"240108AWGWY4ND","Concluído","","","BR245050458759ASPXLM1166316","2024-01-07 22:08","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.90","1","47.90","8.62","3.96","47.90","9.16","biancaa.reis"
"240108AWHUH84R","Concluído","","","BR241251537809JSPXLM1165501","2024-01-07 22:08","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.66","3.74","36.99","6.84","micheletvora"
"240108AWPJ4V4J","Concluído","","","BR248899460277G","2024-01-07 22:11","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.66","3.74","36.74","10.31","debitramontina1997"
"240108AWTGY7AX","Concluído","","","BR240185195303ESPXLM1162884","2024-01-07 22:13","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.84","3.76","37.99","10.31","brunosilvaduarte94"
"240108AYTWX5B3","Concluído","","","BR2440843386896SPXLM1162469","2024-01-07 22:49","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","37.99","6.84","3.76","37.99","10.31","luizmartinez2022"
"240108B1D3WDQ9","Concluído","","","BR248889137781FSPXLM1163642","2024-01-07 23:17","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","47.99","2","95.98","17.28","7.92","95.98","11.47","mariaferreiradasilva035"
"240108B2BKFGTP","Concluído","","","BR2409321765380SPXLM1164165","2024-01-07 23:34","#F346","Termogênico Emagrecedor Desodalina 600mg C/60 Cápsulas - Sanibras","#F346","","61.99","1","61.99","11.16","4.24","61.99","10.31","thatybarbieri"
"240108B3NP28JE","Concluído","","","BR243484682817A","2024-01-07 23:58","#F522","Kit C/3 Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F522","","135.99","1","135.99","24.30","5.70","134.99","9.16","klg_suplementos"
"240108B455XDYY","Concluído","","","BR246894717459ISPXLM1168619","2024-01-08 00:07","#F601","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles - Kit C/2","#F601","","74.99","1","74.99","9.00","9.00","65.51","13.79","misturacriativa"
"240108BARVUB49","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-08 02:05","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.99","1","0.00","0.00","0.00","0.00","12.63","leapatriciacorreia"
"240108BBUABWWX","Concluído","","","BR240732648250LSPXLM1170445","2024-01-08 02:24","#F017","Cartliv Colágeno Tipo 2 Equaliv 60caps Dores E Articulação","#F017","","47.99","1","47.99","5.76","6.84","47.99","12.63","leapatriciacorreia"
"240108BMYH6JWC","Concluído","","","BR248666217262KSPXLM1170687","2024-01-08 05:08","#F600","Ômega 3 Lavitan Suplemento Vitamínico C/120 Cápsulas Moles","#F600","","37.99","1","84.98","10.20","12.80","84.98","10.31","ocleizer"
"240108BMYH6JWC","Concluído","","","BR248666217262KSPXLM1170687","2024-01-08 05:08","#F748","Colágeno Tipo II + Vit. D + Magnésio Condroflan Ultra Airela Suplemento Alimentar C/60 Cápsulas","#F748","","46.99","1","84.98","10.20","12.80","84.98","10.31","ocleizer"
"240108BVHJWBYM","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-08 07:23","#F346","Termogênico Emagrecedor Desodalina 600mg C/60 Cápsulas - Sanibras","#F346","","61.99","1","0.00","0.00","0.00","0.00","9.16","claudiatoledotoledo"
"240108BVJT1N1B","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-08 07:24","#F346","Termogênico Emagrecedor Desodalina 600mg C/60 Cápsulas - Sanibras","#F346","","61.99","1","0.00","0.00","0.00","0.00","9.16","claudiatoledotoledo"
"240108BVMDGNA7","Cancelado","Cancelado automaticamente pelo sistema da Shopee. Motivo : Pedido não pago","","","2024-01-08 07:25","#F346","Termogênico Emagrecedor Desodalina 600mg C/60 Cápsulas - Sanibras","#F346","","61.99","1","0.00","0.00","0.00","0.00","9.16","claudiatoledotoledo"
